"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"127",130,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,2,0.117647058823529,3.353120756,0.394484794823529,"ce_sha",0.753611317261543,-0.443922366021046
"128",131,"Weaver",2012,2224,2010,"SR_cov_resid",-0.703881337982957,1,0,NA,NA,NA,"ce_sha",-0.406775875417327,NA
"129",132,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,14,0.636363636363636,7.17838458742857,4.56806291927273,"ce_sha",5.86986393952749,-0.315242675448219
"130",133,"Bowron",2012,1243,2010,"SR_cov_resid",-0.225381335491589,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"131",134,"Chilko",2008,1306,2006,"SR_cov_resid",1.14899509342246,7,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"132",135,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"133",136,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"134",137,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"135",138,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"136",139,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"137",140,"E.Stuart",2011,1376,2009,"SR_cov_resid",1.44680538823869,6,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"138",141,"E.Stuart",2012,1377,2010,"SR_cov_resid",-1.08380699220204,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"139",142,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"140",143,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"141",144,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"142",146,"L.Shuswap",2008,1609,2006,"SR_cov_resid",0.0352282062004946,10,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"143",147,"L.Shuswap",2011,1612,2009,"SR_cov_resid",0.402581932474835,49,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"144",148,"L.Shuswap",2012,1613,2010,"SR_cov_resid",0.151575729188111,160,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"145",149,"L.Shuswap",2013,1614,2011,"SR_cov_resid",-2.36261739558641,25,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"146",150,"L.Shuswap",2015,1616,2013,"SR_cov_resid",-1.3548508906092,13,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"147",151,"L.Stuart",2011,1679,2009,"SR_cov_resid",0.191652182985228,6,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"148",152,"L.Stuart",2012,1680,2010,"SR_cov_resid",-0.319192535759027,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"149",153,"L.Stuart",2015,1683,2013,"SR_cov_resid",-0.366438470616542,27,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
"150",154,"Nadina",2008,1720,2006,"SR_cov_resid",0.735704110870947,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"151",155,"Pitt",2012,1791,2010,"SR_cov_resid",0.0394305874891034,1,0,NA,NA,NA,"cr_sal",-0.152498570332605,NA
"152",156,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,0,0,NA,NA,"cr_sal",-0.152498570332605,NA
